zip,lat,lon,radius_km
93064,34.24527,-118.69985,4.34
93065,34.26239,-118.77222,6.96
93066,34.2977,-119.01456,7.89
93067,34.4231,-119.59615,2.69
93101,34.41926,-119.70805,3.62
93103,34.43737,-119.67928,4.13
93105,34.52904,-119.76789,12.73
93106,34.41726,-119.8513,2.72
93108,34.44897,-119.60543,6.79
93109,34.40641,-119.72693,3.68
93110,34.4395,-119.76783,4.58
93111,34.44918,-119.80478,4.59
93117,34.47945,-120.08409,13.77
93201,35.85686,-119.50753,9.69
93202,36.31869,-119.70752,3.13
93203,35.12,-118.8459,13.91
93204,35.9132,-120.08214,9.63
93205,35.57342,-118.48644,6.37
93206,35.44391,-119.47914,13.62
93207,35.89529,-118.59563,8.57
93208,36.12978,-118.63978,4.52
93210,36.16746,-120.43856,27.28
93212,36.01423,-119.56298,11.89
93215,35.77946,-119.19194,12.95
93218,35.85714,-119.04493,9.36
93219,35.88824,-119.29496,11.21
93220,35.37873,-118.78185,6.76
93221,36.29639,-119.02993,12.43
93222,34.88625,-119.22044,11.46
93223,36.30111,-119.20788,3.6
93224,35.25523,-119.62523,7.42
93225,34.78661,-119.02985,11.61
93226,35.73565,-118.73837,9.91
93227,36.34445,-119.41856,2.28
93230,36.29223,-119.62268,16.59
93234,36.19609,-120.08481,12.55
93235,36.38507,-119.22312,3.85
93237,36.4745,-118.90427,3.93
93238,35.85077,-118.49771,11.51
93239,36.03277,-119.98641,8.93
93240,35.61755,-118.45229,8.91
93241,35.24526,-118.90528,4.04
93242,36.44114,-119.73028,7.79
93243,34.83998,-118.81495,13.61
93244,36.38634,-118.98972,4.54
93245,36.2861,-119.83405,11.9
93246,36.31767,-119.92748,6.18
93247,36.20173,-119.08348,9.36
93249,35.6217,-119.88775,14.94
93250,35.66908,-119.20197,10.59
93251,35.3706,-119.69734,11.4
93252,34.80288,-119.35927,21.19
93254,34.94622,-119.80284,14.87
93255,35.67733,-118.10142,16.01
93256,35.97173,-119.31351,9.84
93257,35.98086,-118.88931,19.67
93258,36.05833,-119.15209,2.9
93260,35.81909,-118.66119,7.54
93261,35.81148,-119.11674,4.18
93262,36.43699,-118.67153,16.71
93263,35.48725,-119.27832,10.72
93265,36.21771,-118.69361,19.92
93266,36.17173,-119.8563,8.99
93267,36.14362,-119.07388,9.13
93268,35.16757,-119.41002,9.49
93270,35.94245,-119.05835,9.46
93271,36.44004,-118.88028,13.21
93272,36.04735,-119.34443,10.32
93274,36.17793,-119.37998,15.44
93276,35.3176,-119.40931,3.88
93277,36.30133,-119.37259,7.7
93280,35.65224,-119.4464,18.14
93283,35.5921,-118.2977,16.67
93285,35.74913,-118.4934,8.7
93286,36.46271,-119.09324,9.74
93287,35.7238,-118.92066,9.69
93291,36.39178,-119.37284,10.33
93292,36.36624,-119.21164,11.73
93301,35.38434,-119.02056,3.88
93304,35.33944,-119.02366,4.48
93305,35.38988,-118.98518,4.18
93306,35.46819,-118.77975,10.96
93307,35.24512,-118.9411,12.79
93308,35.54749,-118.94687,18.86
93309,35.34305,-119.06504,4.94
93311,35.15373,-119.16836,15.25
93312,35.39185,-119.11955,5.42
